Price,Close,High,Low,Open,Volume,MA20,MA60,BB_Upper,BB_Lower,MACD,Signal,RSI
Ticker,051910.KS,051910.KS,051910.KS,051910.KS,051910.KS,,,,,,,
Date,,,,,,,,,,,,
2024-11-11,302869.875,312334.55859375,299881.02754934214,308349.4286595395,286872,320678.4375,322206.07135416666,343877.0138746307,297479.8611253693,-7503.137394768943,-4882.031116341567,42.473116647593756
2024-11-12,304364.3125,309345.7251432079,299881.04112111294,300379.1823854337,248157,318860.221875,322529.86302083335,341123.4733382288,296596.97041177115,-7688.059180132754,-5443.2367290998045,39.204550720112465
2024-11-13,287925.65625,301375.470642301,285933.09115484427,298884.7642733564,316441,316369.515625,322513.25833333336,340781.7040082585,291957.3272417415,-9056.67350849323,-6165.92408497849,30.693095750667396
2024-11-14,286431.21875,290416.34875,276966.535,287427.50125,432524,314177.69375,322496.6536458333,341080.4332590747,287274.95424092526,-10144.954124633281,-6961.730092909449,31.958777221407516
2024-11-15,276966.53125,280951.66119604313,266505.5651416367,279457.237466277,438875,311662.0796875,322197.76875,342524.4657093338,280799.6936656663,-11637.001426456613,-7896.784359618882,16.111153320428897
2024-11-18,288423.78125,291412.62872409326,273977.68512521585,273977.68512521585,236484,309619.7,322147.9546875,340977.7933032488,278261.6066967512,-11759.400293395622,-8669.30754637423,32.09879459472856
2024-11-19,287427.5,289420.0649913345,282944.2287694974,285933.07625649916,259699,308150.1828125,322131.35,340815.33703331155,275485.02859168843,-11800.762009163795,-9295.598438932142,30.000007841642727
2024-11-20,290416.34375,292907.04995711835,281449.80140437395,284936.79009433964,239227,306506.315625,322131.35,339271.5917034186,273741.0395465814,-11460.260011441831,-9728.53075343408,35.52632502132721
2024-11-21,293405.1875,295895.8936757216,286929.35144312395,288921.9163837012,215661,304837.5421875,322073.23333333334,336640.621575,273034.4628,-10824.457406258618,-9947.716083998988,34.22818622404836
2024-11-22,296892.1875,301873.6000419463,295895.90499161073,297390.3287541946,240849,303617.0953125,321774.3484375,334623.40916391264,272610.7814610874,-9924.800579904113,-9943.132983180014,32.413794893693236
2024-11-25,305360.59375,310342.0063723491,298386.6160787113,299881.039865416,388539,301998.1359375,321633.2083333333,328566.30494381173,275429.96693118825,-8431.295723587566,-9640.765531261524,40.25157977135138
2024-11-26,305858.71875,309843.8486359935,301873.5888640065,302371.7300997557,187822,301425.2734375,321467.1609375,327081.19832765916,275769.34854734084,-7125.35122677451,-9137.682670364122,51.18108797118423
2024-11-27,299881.03125,308847.5737126246,298386.60750622925,305360.58497715945,164520,300453.896875,321168.2760416667,324690.7847986949,276217.00895130506,-6497.8273192797205,-8609.711600147242,46.76258375896374
2024-11-28,303866.15625,306855.0036885246,298884.743852459,299881.0263319672,135494,300030.4765625,321027.1359375,323682.2689734949,276378.6841515051,-5614.226510623877,-8010.61458224257,51.40844883753602
2024-11-29,282944.25,302371.7601232394,282446.10871478874,301375.4775528169,348760,298336.796875,320421.0640625,321777.36909534124,274896.22465465876,-6526.950859846547,-7713.881837763365,39.01100037433122
2024-12-02,281449.8125,287925.6488938053,277962.8236725664,286431.22511061945,207368,296294.4171875,319773.48020833335,317998.50444498664,274590.32993001334,-7286.881465535611,-7628.4817633178145,37.362633196078555
2024-12-03,281449.8125,287925.6488938053,278460.96493362833,285434.94258849556,251104,294326.759375,318818.709375,313683.9547502408,274969.56399975927,-7799.227307992405,-7662.630872252733,45.63757795866091
2024-12-04,274973.96875,278460.95748414856,267501.85003396735,270490.69752038043,410398,292857.2421875,317872.240625,313430.1841910057,272284.3001839943,-8628.349309256359,-7855.774559653459,42.76729286790276
2024-12-05,264014.875,276468.40683962265,262022.3099056604,274973.9830188679,356114,290839.7703125,316892.56302083336,314363.48220274114,267316.0584222589,-10053.84725259128,-8295.389098241023,41.97531485697402
2024-12-06,265509.28125,268996.269934334,258037.16264071295,263516.71628752345,293620,289021.5546875,315979.30364583334,314494.98400436895,263548.12537063105,-10936.904718137579,-8823.692222220336,33.80280196788057
2024-12-09,245583.640625,258037.17209685597,245085.49936612576,256044.607061359,604144,286157.24296875,314899.99765625,317321.4764346198,254993.00950288022,-13093.631560452865,-9677.680089866843,26.66665272594298
2024-12-10,267003.71875,268996.2838152985,249568.77442863805,249568.77442863805,436988,284289.21328125,314210.90234375,315336.93304331345,253241.49351918648,-12925.435457589338,-10327.231163411343,39.17050751194461
