Price,Close,High,Low,Open,Volume,MA20,MA60,BB_Upper,BB_Lower,MACD,Signal,RSI
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,,,,,,,
Date,,,,,,,,,,,,
2024-08-08,72067.96875,72558.89496764305,71184.30155824251,71871.59826294277,28414729,79912.966015625,,89524.86520791032,70301.06682333969,-2160.8291871528054,-885.4794259094132,29.477636091029197
2024-08-09,73344.3671875,74424.4047230589,72853.44103497322,74326.21949255354,16388222,79436.7671875,,89370.4717005676,69503.06267443238,-2253.546936494109,-1159.0929280263524,34.45693441968304
2024-08-12,74129.859375,74522.6003518212,73442.56266556292,73835.30364238411,9839259,78886.930078125,,88711.34053377324,69062.51962247677,-2237.8472557900677,-1374.8437935790955,34.21052631578948
2024-08-13,74718.9609375,75209.88709346254,74129.84955034494,75111.70186227004,10716261,78317.45546875,,87689.31692325068,68945.59401424933,-2153.0505464830203,-1530.4851441598805,38.339901183471035
2024-08-14,75799.0,76388.11139896374,75602.62953367876,75995.37046632124,13246168,77851.075390625,,86710.55058843376,68991.60019281624,-1975.9212274079036,-1619.5723608094852,43.548380369424834
2024-08-16,78744.5546875,78744.5546875,77271.77623324501,77959.07284523068,22061478,77522.154296875,,85673.79791701236,69370.51067673764,-1579.654051039557,-1611.5886988554996,48.717933023859345
2024-08-19,76879.0390625,78646.37329382185,76584.48335727969,78646.37329382185,14146565,77222.6890625,,84977.7880591221,69467.59006587788,-1400.0026202547888,-1569.2714831353574,44.982690292522214
2024-08-20,77468.15625,78351.82343155894,77271.78576520913,78057.26770437263,10683836,77021.409765625,,84514.29065858986,69528.52887266013,-1196.3005256769102,-1494.677291643668,46.41638002812344
2024-08-21,76879.0390625,77173.59476772031,76388.11288713283,76486.29812220627,7805598,76746.490625,,83802.69054735941,69690.2907026406,-1070.066916384545,-1409.7552165918435,39.6296092189241
2024-08-22,76879.0390625,77468.15047294062,76388.11288713283,77271.78000279375,8149101,76564.84765625,,83396.37961232066,69733.31570017934,-958.9714456696092,-1319.5984624073967,40.83969025169935
2024-08-23,76289.9296875,76977.22635135136,76093.5592121139,76289.9296875,9420306,76432.29765625,,83171.96985095974,69692.62546154026,-907.9968652443058,-1237.2781429747786,45.922751764349925
2024-08-26,74718.9609375,76780.85079254271,74620.7757063075,76682.6655613502,15655938,76196.652734375,,82823.35617394114,69569.94929480887,-983.0314177288092,-1186.4287979255848,64.07185799926243
2024-08-27,74424.4140625,75111.71076228561,74228.04357684696,74326.22881967349,11130145,75931.552734375,,82385.66195070274,69477.44351804726,-1054.1131520944036,-1159.9656687593488,60.37738776127066
2024-08-28,75013.5234375,75013.5234375,74031.6710364856,74424.41199689136,9794514,75705.7265625,,81942.07866675378,69469.37445824622,-1050.7968040663836,-1138.1318958207557,55.944090185735426
2024-08-29,72657.078125,73344.37480996622,72166.1519214527,72264.33716216216,16884479,75219.709375,,80740.88203401909,69698.53671598092,-1224.202176790117,-1155.345952014628,51.94804657992608
2024-08-30,72951.6328125,73638.9294877187,72755.26233386608,73049.81805181695,16358520,74787.69453125,,79502.77992644123,70072.60913605877,-1322.6128250575275,-1188.799326623208,48.61113413454897
2024-09-02,73049.8125,73344.36819556452,72166.14541330645,73147.99773185483,12641376,74532.412890625,,79027.4922625106,70037.3335187394,-1376.8106761210947,-1226.4015965227854,45.985361609595685
2024-09-03,71184.296875,72951.63114224137,71184.296875,72755.26066810345,16314599,74586.41484375,,78878.8870156784,70293.9426718216,-1552.3992910441739,-1291.6011354270631,38.000005304603604
2024-09-04,68729.6640625,69809.701640625,68533.29359375,68533.29359375,27366563,74463.683203125,78572.75104166666,79274.76950841208,69652.59689783791,-1868.0887232084642,-1406.8986529833433,28.04876806253739
2024-09-05,67747.8125,69907.88768115942,67747.8125,68827.85009057971,25686769,74183.85546875,78455.578125,79844.98979929251,68522.72113820749,-2172.459329198042,-1560.010788226283,11.111098831937468
2024-09-06,67649.625,68435.10685776487,66765.9579100145,67845.99546444122,19022299,73962.93828125,78302.556640625,80278.71972146405,67647.15684103595,-2394.0015780024405,-1726.8089461815146,12.698393653171294
2024-09-09,66275.03125,66962.32787037037,65391.364166666666,65685.9198611111,23263298,73609.471484375,78110.33372395833,80801.50964064462,66417.43332810537,-2649.9466979716817,-1911.436496539548,7.462626301013273
2024-09-10,64998.62890625,66078.66654668617,64802.258426170694,65784.11082656722,30651376,73152.9099609375,77921.2748046875,81301.56240168856,65004.25752018643,-2922.09594818436,-2113.5683868685105,7.092146952291543
