name,code,market,par_value,total_shrs
남광토건,001260,KOSPI,5000,9832572
남선알미우,008355,KOSPI,500,307890
남선알미늄,008350,KOSPI,500,129079090
남성,004270,KOSPI,500,36212160
남양유업우,003925,KOSPI,500,2000000
남양유업,003920,KOSPI,500,6131346
남해화학,025860,KOSPI,1000,49678843
남화산업,111710,KOSDAQ,200,20588000
남화토건,091590,KOSDAQ,500,11740000
내츄럴엔도텍,168330,KOSDAQ,500,31754900
네오리진,094860,KOSDAQ,500,21399569
네오셈,253590,KOSDAQ,100,43869164
네오오토,212560,KOSDAQ,500,7874963
네오위즈,095660,KOSDAQ,500,21856816
네오위즈홀딩스,042420,KOSDAQ,500,8593846
네오이뮨텍,950220,KOSDAQ,0,98867465
네오크레마,311390,KOSDAQ,500,12653789
네오티스,085910,KOSDAQ,500,13934818
네오팜,092730,KOSDAQ,500,16027989
네오펙트,290660,KOSDAQ,500,46150126
네온테크,306620,KOSDAQ,100,43463871
네이블,153460,KOSDAQ,500,6530014
네이처셀,007390,KOSDAQ,500,64435056
네패스,033640,KOSDAQ,500,23059202
네패스아크,330860,KOSDAQ,500,12184045
넥사다이내믹스,351320,KOSDAQ,100,22015886
넥센우,005725,KOSPI,500,3600600
넥센,005720,KOSPI,500,53543977
넥센타이어1우B,002355,KOSPI,500,6500000
넥센타이어,002350,KOSPI,500,97667877
넥스턴바이오,089140,KOSDAQ,2500,12836984
넥스트바이오메디컬,389650,KOSDAQ,500,8126936
넥스트아이,137940,KOSDAQ,100,85368992
NEW,160550,KOSDAQ,500,27906106
넥스트칩,396270,KOSDAQ,500,18088940
넥스틴,348210,KOSDAQ GLOBAL,500,10477005
넥스틸,092790,KOSPI,500,26002000
넥슨게임즈,225570,KOSDAQ,500,65860174
넥써쓰,205500,KOSDAQ,500,58717699
넵튠,217270,KOSDAQ,500,46701643
넷마블,251270,KOSPI,100,85953502
노드메이슨,317860,KONEX,500,4513215
노랑풍선,104620,KOSDAQ,500,15842126
노루페인트우,090355,KOSPI,500,463126
노루페인트,090350,KOSPI,500,20000000
노루홀딩스우,000325,KOSPI,500,243559
노루홀딩스,000320,KOSPI,500,13291151
노머스,473980,KOSDAQ,500,10875617
노바렉스,194700,KOSDAQ,500,18754848
노바텍,285490,KOSDAQ,500,10575831
노브랜드,145170,KOSDAQ,500,16908405
노브메타파마,229500,KONEX,500,12125443
노블엠앤비,106520,KOSDAQ,1000,38695952
노을,376930,KOSDAQ,500,36947060
녹십자,006280,KOSPI,5000,11686538
녹십자엠에스,142280,KOSDAQ,500,21741926
녹십자웰빙,234690,KOSDAQ,500,17752276
녹십자홀딩스2우,005257,KOSPI,500,845990
녹십자홀딩스,005250,KOSPI,500,47028210
농심,004370,KOSPI,5000,6082642
농심홀딩스,072710,KOSPI,5000,4637790
아시아종묘,154030,KOSDAQ,500,12061867
농우바이오,054050,KOSDAQ,500,16030561
우듬지팜,403490,KOSDAQ,100,45212464
누리플랜,069140,KOSDAQ,500,13102743
누리플렉스,040160,KOSDAQ,500,12055535
누보,332290,KOSDAQ,100,33384803
뉴로메카,348340,KOSDAQ,500,11337587
뉴보텍,060260,KOSDAQ,500,13512009
뉴온,123840,KOSDAQ,1000,37154307
뉴인텍,012340,KOSDAQ,500,50907162
뉴트리,270870,KOSDAQ,500,9200224
뉴파워프라즈마,144960,KOSDAQ,100,43692624
뉴프렉스,085670,KOSDAQ,500,24450761
다날,064260,KOSDAQ,500,68949040
다보링크,340360,KOSDAQ,100,43951909
다산네트웍스,039560,KOSDAQ,500,39613981
다산솔루에타,154040,KOSDAQ,500,17950094
다스코,058730,KOSPI,500,18796941
다올투자증권,030210,KOSPI,5000,60911106
다우기술,023590,KOSPI,500,44866617
다우데이타,032190,KOSDAQ,500,38300000
다원넥스뷰,323350,KOSDAQ,100,8010772
다원시스,068240,KOSDAQ,500,38163437
다이나믹디자인,145210,KOSPI,500,35974774
달바글로벌,483650,KOSPI,100,12069665
닷밀,464580,KOSDAQ,500,9147948
대교,019680,KOSPI,500,84702850
대교우B,019685,KOSPI,500,19426990
대구백화점,006370,KOSPI,5000,10821611
대덕1우,00806K,KOSPI,500,1212357
대덕,008060,KOSPI,500,33890150
대덕전자,353200,KOSPI,500,49416925
대덕전자1우,35320K,KOSPI,500,2095519
대동고려삼,178600,KONEX,500,4449600
대동금속,020400,KOSDAQ,1000,3189166
대동기어,008830,KOSDAQ,500,8987520
대동,000490,KOSPI,1000,25654140
대동스틸,048470,KOSDAQ,500,10000000
대동전자,008110,KOSPI,500,10490447
대륙제관,004780,KOSDAQ,500,15903199
대림바스,005750,KOSPI,1000,16672240
대림제지,017650,KOSDAQ,500,9000000
대림통상,006570,KOSPI,1000,15225000
대명에너지,389260,KOSDAQ,100,17050000
대모,317850,KOSDAQ,500,8324420
대보마그네틱,290670,KOSDAQ,500,7857660
대봉엘에스,078140,KOSDAQ,500,11086579
대산F&B,065150,KOSDAQ,100,159382405
대상우,001685,KOSPI,1000,1370223
대상,001680,KOSPI,1000,34648025
대상홀딩스우,084695,KOSPI,1000,913482
대상홀딩스,084690,KOSPI,1000,36212538
대성미생물,036480,KOSDAQ,500,3800000
대성산업,128820,KOSPI,1000,45235478
대성에너지,117580,KOSPI,1000,27500000
대성창투,027830,KOSDAQ,500,54000000
대성파인텍,104040,KOSDAQ,100,47224987
대성하이텍,129920,KOSDAQ,100,13715053
대성홀딩스,016710,KOSPI,1000,16089459
대신밸런스제14호스팩,442310,KOSDAQ,100,6710000
대신밸런스제16호스팩,457630,KOSDAQ,100,7310000
대신밸런스제17호스팩,471050,KOSDAQ,100,6060000
대신밸런스제18호스팩,478780,KOSDAQ,100,7910000
대신밸런스제19호스팩,482690,KOSDAQ,100,5615000
대신정보통신,020180,KOSDAQ,500,38428915
대신증권우,003545,KOSPI,5000,26000000
대신증권2우B,003547,KOSPI,5000,10000000
대신증권,003540,KOSPI,5000,50773400
대아티아이,045390,KOSDAQ,100,70473377
대양금속,009190,KOSPI,500,42359986
대양전기공업,108380,KOSDAQ,500,9567333
대영포장,014160,KOSPI,500,108394549
대우건설,047040,KOSPI,5000,415622638
대웅,003090,KOSPI,500,58141980
대웅제약,069620,KOSPI,2500,11586575
대원,007680,KOSDAQ,500,13446474
대원강업,000430,KOSPI,500,62000000
대원미디어,048910,KOSDAQ,500,12578946
대원산업,005710,KOSDAQ,500,20037600
대원전선우,006345,KOSPI,500,2621200
대원전선,006340,KOSPI,500,74979175
대원제약,003220,KOSPI,500,22427583
대원화성,024890,KOSPI,500,41249152
대유,290380,KOSDAQ,500,24713612
대유에이텍,002880,KOSPI,500,46744020
대정화금,120240,KOSDAQ,500,7190391
대주산업,003310,KOSDAQ,500,35392350
대주이엔티,114920,KONEX,500,3469500
대주전자재료,078600,KOSDAQ,500,15480593
대진첨단소재,393970,KOSDAQ,500,14796820
대창단조,015230,KOSPI,500,28572230
대창,012800,KOSPI,500,91140499
대창솔루션,096350,KOSDAQ,100,163761009
대창스틸,140520,KOSDAQ,500,21109243
대한과학,131220,KOSDAQ,500,7454490
대한광통신,010170,KOSDAQ,500,109511166
대한뉴팜,054670,KOSDAQ,500,14354920
대한방직,001070,KOSPI,1000,5300000
대한약품,023910,KOSDAQ,500,6000000
대한유화,006650,KOSPI,5000,6500000
대한전선,001440,KOSPI,1000,186447300
대한제강,084010,KOSPI,1000,23414397
